timestamp,temperature,humidity,motion,ldr,outTemperature,outHumidity,outLdr
2025-12-01 16:39:00,26.2,44.0,1,349,13.9,74.1,139
2025-12-01 16:40:00,26.2,44.0,1,346,13.9,74.05,138
2025-12-01 16:41:00,26.2,44.0,1,348,13.88,74.03,134
2025-12-01 16:42:00,26.2,44.0,1,349,13.83,74.17,143
2025-12-01 16:43:00,26.2,44.0,1,348,13.8,74.17,148
2025-12-01 16:44:00,26.2,44.0,1,345,13.76,74.14,157
2025-12-01 16:45:00,26.2,44.0,1,342,13.7,74.13,155
2025-12-01 16:46:00,26.2,44.0,1,343,13.7,74.2,160
2025-12-01 16:47:00,26.27,44.0,1,343,13.7,74.23,166
2025-12-01 16:48:00,26.3,44.0,1,344,13.7,74.3,172
2025-12-01 16:49:00,26.3,44.0,1,344,13.6,74.33,178
2025-12-01 16:50:00,26.3,44.0,1,344,13.6,74.4,183
2025-12-01 16:51:00,26.3,44.0,1,345,13.6,74.45,188
2025-12-01 16:52:00,26.37,44.0,1,345,13.6,74.5,194
2025-12-01 16:53:00,26.4,44.0,1,346,13.6,74.55,200
2025-12-01 16:54:00,26.4,44.0,1,346,13.6,74.6,206
2025-12-01 16:55:00,26.4,44.0,1,347,13.6,74.67,210
2025-12-01 16:56:00,26.4,44.0,1,347,13.6,74.7,216
2025-12-01 16:57:00,26.47,44.0,1,348,13.53,74.77,222
2025-12-01 16:58:00,26.5,44.0,1,348,13.5,74.8,228
2025-12-01 16:59:00,26.5,44.0,1,348,13.5,74.87,233
2025-12-01 17:00:00,26.5,44.0,1,349,13.5,74.9,238
2025-12-01 17:01:00,26.5,44.0,1,349,13.5,74.98,244
2025-12-01 17:02:00,26.57,44.0,1,350,13.5,75.0,250
2025-12-01 17:03:00,26.6,44.0,1,350,13.5,75.08,256
2025-12-01 17:04:00,26.6,44.0,1,351,13.5,75.1,261
2025-12-01 17:05:00,26.6,44.0,1,351,13.47,75.2,266
2025-12-01 17:06:00,26.6,44.0,1,352,13.4,75.2,272
2025-12-01 17:07:00,26.67,44.0,1,352,13.4,75.3,278
2025-12-01 17:08:00,26.7,44.0,1,352,13.4,75.3,283
2025-12-01 17:09:00,26.7,44.0,1,351,13.4,75.4,289
2025-12-01 17:10:00,26.7,44.33,1,349,13.4,75.47,307
2025-12-01 17:11:00,26.9,44.0,1,348,13.4,75.43,330
2025-12-01 17:12:00,27.03,44.0,1,348,13.4,75.63,359
2025-12-01 17:13:00,26.7,44.0,1,351,13.4,75.78,360
2025-12-01 17:14:00,26.7,44.0,1,347,13.4,75.7,379
2025-12-01 17:15:00,26.7,44.0,1,352,13.4,75.72,392
2025-12-01 17:16:00,26.7,44.0,1,352,13.4,76.0,415
2025-12-01 17:17:00,26.7,44.0,1,352,13.4,76.18,431
2025-12-01 17:18:00,26.82,44.0,1,351,13.37,76.43,446
2025-12-01 17:19:00,26.7,44.0,1,352,13.3,76.57,477
2025-12-01 17:20:00,26.7,44.0,1,352,13.3,76.75,500
2025-12-01 17:21:00,26.7,44.0,1,352,13.3,77.05,541
2025-12-01 17:22:00,26.7,44.0,1,349,13.3,77.1,560
2025-12-01 17:23:00,26.7,44.0,1,348,13.25,77.1,574
2025-12-01 17:24:00,26.7,44.0,1,349,13.2,77.28,600
2025-12-01 17:25:00,26.7,44.0,1,350,13.12,77.85,674
2025-12-01 17:26:00,26.7,44.07,1,350,13.1,78.15,704
2025-12-01 17:27:00,26.6,44.13,1,351,13.0,78.38,735
2025-12-01 17:28:00,26.6,44.2,1,352,13.0,78.58,766
2025-12-01 17:29:00,26.55,44.3,1,352,12.95,78.8,797
2025-12-01 17:30:00,26.5,44.38,1,353,12.9,79.02,828
2025-12-01 17:31:00,26.5,44.45,1,354,12.9,79.22,858
2025-12-01 17:32:00,26.4,44.53,1,354,12.8,79.45,889
2025-12-01 17:33:00,26.4,44.6,1,355,12.8,79.65,920
2025-12-01 17:34:00,26.37,44.7,1,356,12.77,79.87,951
2025-12-01 17:35:00,26.3,44.78,1,356,12.7,80.08,982
2025-12-01 17:36:00,26.3,44.85,1,357,12.7,80.28,1013
2025-12-01 17:37:00,26.22,44.92,1,357,12.62,80.52,1044
2025-12-01 17:38:00,26.2,44.97,1,353,12.58,80.65,1093
2025-12-01 17:39:00,26.2,44.53,1,352,12.52,80.58,1150
2025-12-01 17:40:00,26.2,45.0,1,351,12.45,80.37,1211
2025-12-01 17:41:00,26.2,45.0,1,351,12.4,80.57,1268
2025-12-01 17:42:00,26.2,45.0,1,352,12.42,80.8,1346
2025-12-01 17:43:00,26.2,45.0,1,352,12.4,80.9,1417
2025-12-01 17:44:00,26.2,45.0,1,355,12.48,80.88,1507
2025-12-01 17:45:00,26.2,45.0,1,354,12.42,80.92,1611
2025-12-01 17:46:00,26.2,45.0,1,355,12.4,81.1,1698
2025-12-01 17:47:00,26.2,45.0,1,352,12.4,81.47,1786
2025-12-01 17:48:00,26.2,45.0,1,353,12.42,81.37,1888
2025-12-01 17:49:00,26.2,45.0,1,352,12.33,80.92,1984
2025-12-01 17:50:00,26.2,45.0,1,352,12.35,81.28,2083
2025-12-01 17:51:00,26.2,45.0,1,348,12.4,81.5,2182
2025-12-01 17:52:00,26.2,45.0,1,351,12.4,81.37,2290
2025-12-01 17:53:00,26.2,45.0,1,354,12.47,81.22,2408
2025-12-01 17:54:00,26.2,45.0,1,377,12.5,80.83,2526
2025-12-01 17:55:00,26.2,45.0,1,358,12.5,80.62,2625
2025-12-01 17:56:00,26.2,45.0,1,2847,12.53,80.18,2926
2025-12-01 17:57:00,25.8,45.0,0,4095,12.55,79.35,3152
